City_State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SMYRNA_10,53965,53080,52537,51946,51271,50485,50196,49259,49173,47015,46370,46342,42871,41988,40999,36585,36483,NA,33774,33076,32969,32325,32285,31673,30981,24550,25312,24086,NA,21544,NA,21966,21610,21341,20697
EAGAN_22,65754,65052,65180,64702,64206,64014,63754,63718,64090,64505,64532,64553,64852,64239,63557,60678,59082,58475,58126,57528,54057,53466,48545,48025,47409,39996,34276,32348,27902,24238,24058,21142,21086,20867,20720
SANFORD_9,56601,54972,54662,54300,53570,52118,51464,50757,48054,46486,44524,44240,40042,39283,38291,37435,37068,36191,35564,34987,35259,34567,33763,33235,NA,31135,NA,30462,30201,27721,26769,23131,22560,22018,20721
HANFORD_4,54824,54425,54787,54601,53967,NA,50602,49694,47913,47131,45891,44815,43218,42461,41686,37695,36974,34882,34461,34149,33131,32900,32045,31540,30897,27602,25797,25529,24718,23975,23300,22516,22114,21608,21048
PHARR_42,74555,73932,73599,71881,70400,67628,66084,63666,60658,57774,55367,52075,48737,47719,46660,42927,42424,38686,38068,37264,37204,36502,34218,33623,32921,32422,26811,26086,25198,24396,23828,23496,22833,22048,21174
GILROY_4,52415,51240,50042,49395,48821,50946,50136,49343,46130,44651,44322,43598,42987,42235,41464,38284,35276,34515,34098,33789,32938,32708,32657,32142,31487,29901,28301,28226,27070,25064,24358,22809,22402,21891,21323
DORAL_9,51350,48896,47427,46327,45704,32209,22898,21356,22264,30969,30285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MISSOURI CITY_42,64943,63654,65008,63054,61755,71121,70670,70927,65725,61648,57689,54263,49529,48495,47419,58117,51193,40987,40332,39481,29101,28552,32149,31590,30930,29344,26256,27374,27621,27306,26670,23725,23056,22264,21381
INDIO_4,84540,80243,78501,76930,76036,89459,89486,81909,71177,63747,58913,54790,50921,50029,49116,45683,45318,NA,40015,39653,NA,38576,38161,37559,36793,34017,31577,29959,26968,25127,24419,22969,22559,22043,21472
BELLEVUE_26,54251,53023,51678,50584,50137,50311,48894,48067,47591,47661,46947,46487,44847,44433,44382,44135,43939,42138,42011,41630,31419,31110,31523,31268,30982,31713,32741,32123,32190,22514,22118,22132,21980,21841,21674
MADERA_4,63495,62973,62796,62138,61416,58372,57636,56797,52617,50375,48505,46699,44795,44010,43207,37182,37004,34611,34193,33883,32790,32561,30369,29890,29281,28259,26548,26493,25866,25621,24899,23186,22772,22252,21675
APPLE VALLEY_22,50472,50262,49827,49463,49084,50480,50619,50794,50189,49916,49340,48863,46455,46016,45527,45910,44290,40823,40580,40162,38639,38216,35427,35048,34598,32405,30093,28400,26553,24771,24587,22250,22191,21960,21806
CARY_32,153365,147370,139565,135509,133812,133304,124841,113921,108446,102855,101333,98999,97697,96125,94536,83205,79477,63825,62949,61849,53655,52707,45276,44575,43858,36019,32739,31773,27960,24972,24611,22907,22670,22414,22010
SAN RAMON_4,75049,74434,74013,72996,72148,49660,49457,50295,50449,45919,46437,46702,46365,45553,44722,43071,41164,40964,40470,40104,38079,37813,36615,36038,35303,30589,27337,26790,25550,22030,NA,NA,NA,NA,NA
NOVI_21,58654,57469,55623,55182,55224,54842,54980,55127,52983,51976,50950,49258,47920,47636,47386,44972,44098,39813,39080,38897,37472,37401,33501,33256,32998,31443,28809,28127,24966,22955,22921,22139,22237,22462,22528
NEW BRAUNFELS_42,53308,50765,49840,48587,47586,51152,49645,47916,45226,42732,40894,39540,36901,36130,35328,37052,35954,32950,32423,31739,30180,29611,28411,27917,27334,29152,28818,28099,26436,25541,24946,24657,23961,23138,22220
MISSION_42,81871,81360,80557,78679,77058,69997,68236,66216,61850,58763,55536,52232,47429,46438,45408,40660,39645,40655,40005,39160,34036,33394,29781,29264,28653,34006,32304,31430,29859,27260,26625,24833,24132,23303,22379
HEMET_4,82412,81698,81213,79582,78657,72417,71789,71825,68676,67005,65794,64032,60972,59905,58812,53554,53202,42721,42205,41823,NA,39822,37435,36845,36094,31687,28831,27354,27486,27054,26292,23974,23546,23007,22411
TULARE_4,61596,61424,60848,59975,59278,58006,56624,53352,50578,49020,47968,46461,45611,44812,43994,41535,40781,39589,39111,38757,37067,36808,34485,33941,33249,29265,27719,27498,26866,25368,24654,24031,23602,23063,22465
ORLAND PARK_12,58871,57393,56857,56753,56583,55864,56098,56016,55667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36345,36071,35720,32105,29100,29336,26148,24582,24530,22968,22893,22907,22707
REDMOND_46,58311,57263,55770,54993,54144,50009,49921,49195,48397,47601,46938,46402,46599,45977,45256,44604,43232,41746,41173,40415,39634,38982,37781,36913,35800,33310,30071,29419,28184,26210,25855,24184,23875,23689,23134
SAN MARCOS_42,56620,51783,47381,45836,44891,54251,51607,48192,46827,44867,43308,42249,36279,35521,34733,40060,37099,32808,32284,31603,30652,30074,29875,29356,28743,29758,30099,28874,26385,25610,25013,25682,24957,24100,23144
KENT_46,125837,124359,122102,93861,92411,84363,84966,83929,83206,82736,82529,82565,81883,80790,79524,45597,43820,43179,42587,41802,42246,41551,40060,39140,37960,32542,30061,29409,26878,24290,23961,24238,23928,23742,23186
ROSWELL_10,95387,95373,92141,89509,88346,88371,88069,88879,88679,87386,79532,NA,82957,81248,NA,NA,57249,58262,57227,56044,52776,51744,49941,48994,47923,NA,NA,NA,NA,27856,27209,24671,24271,23970,23246
LAYTON_43,71629,69044,69420,68610,67311,65947,65029,63284,63795,63269,61740,60977,60650,59433,58474,55901,NA,57657,56005,54633,52295,50980,47985,46848,45600,37035,35561,35591,31509,34152,30552,25086,24079,23490,NA
EDINBURG_42,82349,82271,80332,78722,77100,74611,71734,69708,64513,59409,56231,53584,50622,49565,48465,41163,39608,38584,37967,37165,33908,33268,31062,30522,29885,33380,32645,31762,31334,29958,29260,26331,25588,24709,23729
PALM DESERT_4,50971,50456,50021,49015,48445,51630,51556,47903,47482,46925,46150,44792,42667,41920,41155,29844,28923,27261,26932,26688,25287,25110,24116,23736,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EULESS_42,53674,53236,53228,52356,51277,53339,53157,52899,52678,51407,50960,49217,48052,47049,46005,45901,43199,42269,41593,40715,41223,40445,39652,38963,38149,29475,29397,29357,29100,28691,28023,26617,25866,24978,23987
LEWISVILLE_42,101566,99821,99345,96436,94449,104539,100894,97132,92878,90582,88570,85251,81194,79499,77735,73509,65434,54095,53230,52106,51806,50829,48353,47513,46521,32058,30407,27807,24845,26926,26299,26793,26037,25142,24145
ROSEVILLE_4,128997,126236,122896,120184,118788,116846,112817,111497,106894,104297,99494,92724,82858,81406,79921,72658,65597,54429,53772,53285,50183,49832,46346,45615,44685,35177,31420,30317,29864,28319,27521,25948,25485,24903,24257
WATSONVILLE_4,52778,52076,52064,51801,51199,50898,50211,49031,48359,47465,46691,47133,45891,45088,44265,33841,33544,32945,32547,32252,31620,31399,32254,31746,31099,30589,29146,28923,26898,26296,25555,25998,25534,24951,24304
HENDERSON_27,274121,268237,263469,259902,257729,261883,256091,251270,239906,232536,223827,212571,190761,184844,175381,158168,134698,117396,112217,107107,91997,87704,71705,69382,64942,62512,52038,49029,42989,34685,33751,27207,26902,25803,24438
HOWELL TOWNSHIP_29,51884,51100,51379,51245,51075,51596,51433,50324,50550,50430,50481,50318,49925,49310,48903,47298,45555,41345,41012,40792,40582,40454,39283,39137,38987,36560,33073,32440,28922,26839,26672,25283,25182,25057,24858
LAKE HAVASU CITY_2,52892,52891,53513,53271,52527,58406,57616,58699,57453,55014,50559,47465,44601,43382,41938,41447,41410,35650,34657,33014,29832,28815,25471,24926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
