"","city","aypi"
"429","WYOMING",0.00759968507144299
"430","NORTH LITTLE ROCK",0.00135337649448144
"431","SKOKIE",0.0041406079551196
"432","SPRINGFIELD",-0.00610614840438189
"433","DANBURY",0.0106517178392089
"434","JOHNS CREEK",0.064438698387644
"435","FAYETTEVILLE",0.0414203795141826
"436","ST. CLAIR SHORES",-0.00337949441131939
"437","TAYLOR",-0.00650385212094823
"438","ST. CHARLES",0.00858211585181478
"439","LAKEWOOD TOWNSHIP",0.0341513392837815
"440","OLD BRIDGE TOWNSHIP",0.00737398075709164
"441","LONGVIEW",0.00844333488173861
"442","LARGO",0.0087003667166048
"443","SCHENECTADY",-0.000839194670230493
"444","CICERO",0.0202095472511015
"445","FARGO",0.0192147472075552
"446","PORTLAND",0.00233852139601165
"447","MIDDLETOWN TOWNSHIP",0.00224971023505547
"448","LAWRENCE",0.00851546802264577
"449","LAGUNA NIGUEL",0.00361758057254153
"450","HIGH POINT",0.0150477309531601
"451","COLUMBIA",0.0187113857770953
"452","WATERFORD TOWNSHIP",0.00593150012518166
"453","RANCHO CORDOVA",0.0163215863508999
"454","FRAMINGHAM",0.00283330251868505
"455","SAN LEANDRO",0.0101642254322652
"456","RANCHO CUCAMONGA",0.0362523771867912
"457","LORAIN",-0.0044912484389345
"458","ESCONDIDO",0.0259884585106428
"459","ALAMEDA",0.00596425050832143
"460","WATERLOO",-0.00295782926527508
"461","OGDEN",0.00861108349657825
"462","BUENA PARK",0.00786961700300905
"463","EAST ORANGE",-0.00506013560476961
"464","KENNER",-0.000812589815896089
"465","ALHAMBRA",0.00830077453175183
"466","MUNCIE",-0.00172748898904377
"467","YOUNGSTOWN",-0.0164706064276913
"468","MCALLEN",0.0227039649372013
"469","FORT COLLINS",0.0267688947449182
"470","LYNCHBURG",0.00502058525526721
"471","RICHARDSON",0.00449511770743259
"472","GRAND PRAIRIE",0.0207179578175201
"473","MOUNT VERNON",0.00119502507519674
"474","TROY",0.00655121717867834
"475","LEE'S SUMMIT",0.0219206554425116
"476","NEW ROCHELLE",0.00408842069245
"477","ARLINGTON HEIGHTS",0.00597333547235652
"478","SOUTH GATE",0.0109552889764059
"479","LAKE CHARLES",-0.000276186381491767
"480","MISSION VIEJO",0.0155163290662414
"481","MESQUITE",0.0231893681295741
"482","WAUKEGAN",0.0161506658270931
"483","WESTMINSTER",0.00940018255160498
"484","NORMAN",0.0170581911515374
"485","NASHUA",0.0103600606524786
"486","MENIFEE",0.0460030913671614
"487","PAWTUCKET",0.000292229922597478
"488","WHITTIER",0.00808214363686739
"489","BILLINGS",0.0176539889697842
"490","IRVINE",0.0383162054209617
"491","CHARLESTON",0.0185321994396138
