"","city","aypi","population"
"408","MERIDEN",0.00198908769754346,60352
"409","REDWOOD CITY",0.0112039209599104,81870
"410","LOWER MERION TOWNSHIP",-0.000574362520755956,58268
"411","DUBUQUE",-0.00193650319828439,58421
"412","BAYTOWN",0.00757077942255183,72088
"413","ROYAL OAK",-0.00505657138618619,59377
"414","LAKEWOOD",-0.00413889589514225,59313
"415","FARMINGTON HILLS",0.0103976845402307,81682
"416","REDONDO BEACH",0.0054773666786904,68075
"417","LAKE FOREST",0.0205701041474684,79748
"418","BAYONNE",0.000530362310405887,65618
"419","CHAMPAIGN",0.0198217823941227,83995
"420","BRISTOL",0.00172984927142509,60590
"421","GREENWICH",0.00201668755171422,62676
"422","FAIRFIELD",0.0193837958571636,110300
"423","ENCINITAS",0.0044358259392563,62071
"424","UTICA",-0.00562569273635083,61702
"425","NEWPORT BEACH",0.0124467997671367,87759
"426","WEST ALLIS",-0.00149928373281862,60764
"427","WEST PALM BEACH",0.0185497862786781,103028
"428","MOUNTAIN VIEW",0.00905434031602969,78759
"429","WYOMING",0.00759968507144299,74603
"430","NORTH LITTLE ROCK",0.00135337649448144,67031
"431","SKOKIE",0.0041406079551196,65263
"432","SPRINGFIELD",-0.00610614840438189,58891
"433","DANBURY",0.0106517178392089,84281
"434","JOHNS CREEK",0.064438698387644,84256
"435","FAYETTEVILLE",0.0414203795141826,205306
"436","ST. CLAIR SHORES",-0.00337949441131939,60157
"437","TAYLOR",-0.00650385212094823,61527
"438","ST. CHARLES",0.00858211585181478,67970
"439","LAKEWOOD TOWNSHIP",0.0341513392837815,93749
"440","OLD BRIDGE TOWNSHIP",0.00737398075709164,66966
"441","LONGVIEW",0.00844333488173861,79728
"442","LARGO",0.0087003667166048,78502
"443","SCHENECTADY",-0.000839194670230493,65834
"444","CICERO",0.0202095472511015,84147
"445","FARGO",0.0192147472075552,115686
"446","PORTLAND",0.00233852139601165,66380
"447","MIDDLETOWN TOWNSHIP",0.00224971023505547,66223
"448","LAWRENCE",0.00851546802264577,78169
"449","LAGUNA NIGUEL",0.00361758057254153,65033
"450","HIGH POINT",0.0150477309531601,103122
"451","COLUMBIA",0.0187113857770953,116847
"452","WATERFORD TOWNSHIP",0.00593150012518166,73308
"453","RANCHO CORDOVA",0.0163215863508999,68636
"454","FRAMINGHAM",0.00283330251868505,71113
"455","SAN LEANDRO",0.0101642254322652,88690
"456","RANCHO CUCAMONGA",0.0362523771867912,172694
"457","LORAIN",-0.0044912484389345,63619
"458","ESCONDIDO",0.0259884585106428,149839
"459","ALAMEDA",0.00596425050832143,77048
"460","WATERLOO",-0.00295782926527508,68358
"461","OGDEN",0.00861108349657825,84557
"462","BUENA PARK",0.00786961700300905,83414
"463","EAST ORANGE",-0.00506013560476961,64758
"464","KENNER",-0.000812589815896089,67037
"465","ALHAMBRA",0.00830077453175183,84931
"466","MUNCIE",-0.00172748898904377,70347
"467","YOUNGSTOWN",-0.0164706064276913,64658
"468","MCALLEN",0.0227039649372013,138122
"469","FORT COLLINS",0.0267688947449182,154015
"470","LYNCHBURG",0.00502058525526721,78639
"471","RICHARDSON",0.00449511770743259,75460
"472","GRAND PRAIRIE",0.0207179578175201,129472
"473","MOUNT VERNON",0.00119502507519674,68442
"474","TROY",0.00655121717867834,83279
"475","LEE'S SUMMIT",0.0219206554425116,91625
"476","NEW ROCHELLE",0.00408842069245,80030
"477","ARLINGTON HEIGHTS",0.00597333547235652,76200
"478","SOUTH GATE",0.0109552889764059,95981
"479","LAKE CHARLES",-0.000276186381491767,74470
"480","MISSION VIEJO",0.0155163290662414,97124
"481","MESQUITE",0.0231893681295741,144264
"482","WAUKEGAN",0.0161506658270931,88747
"483","WESTMINSTER",0.00940018255160498,92217
"484","NORMAN",0.0170581911515374,119956
"485","NASHUA",0.0103600606524786,87279
"486","MENIFEE",0.0460030913671614,84843
"487","PAWTUCKET",0.000292229922597478,71443
"488","WHITTIER",0.00808214363686739,86952
"489","BILLINGS",0.0176539889697842,110245
"490","IRVINE",0.0383162054209617,242971
"491","CHARLESTON",0.0185321994396138,120885
"492","FEDERAL WAY",0.0144850688070124,93551
"493","CHERRY HILL TOWNSHIP",0.000212405168700177,72058
"494","SOMERVILLE",0.00125701503843213,79798
"495","NEW BRITAIN",-0.000552284949920677,72864
"496","TYLER",0.0116668808156499,100969
"497","EVANSTON",0.00161068439883276,75817
"498","MIDLAND",0.0189219363626913,127344
"499","WILMINGTON",0.000809927325376354,71713
"500","COLONIE TOWN",0.00339954715613526,78717
"501","CLINTON TOWNSHIP",0.0123660097891292,98897
"502","KALAMAZOO",-0.00136878790105057,75857
"503","FORT SMITH",0.00619233701207475,87989
"504","SOUTHFIELD",-0.000595797901043779,73321
"505","CLIFTON",0.00457998460570119,85822
"506","SCRANTON",-0.00534005003711249,75749
"507","CRANSTON",0.00354720146907383,80905
"508","PLANO",0.0411132951230829,272106
"509","GAINESVILLE",0.0193235256481442,128185
"510","CANTON",-0.00820506780050558,72391
"511","ST. JOSEPH",0.00322318578738868,77269
"512","SAN ANGELO",0.00900216849054808,98477
"513","TUSCALOOSA",0.00859457145062482,96412
"514","LAKEWOOD",0.00285112452137026,81382
"515","BELLEVUE",0.0184603825663117,135449
"516","EL CAJON",0.00990316986289571,102838
"517","PROVO",0.0148898645814096,117158
"518","RICHMOND",0.0113613035329323,108464
"519","ALBANY",0.00130875423832884,75858
"520","DECATUR",-0.0111243756612868,74373
"521","OCEANSIDE",0.0256562315079032,174102
"522","READING",0.00368013110351251,87848
"523","JOLIET",0.0223450998118893,137783
"524","SANTA BARBARA",0.00598202685457399,90889
"525","VENTURA",0.0113188876395894,109246
"526","KENOSHA",0.00796366369973581,100025
"527","HAMMOND",-0.00488976024427463,78526
"528","BOULDER",0.00965913060245801,104284
"529","NORWALK",0.00433871729921424,88232
"530","ARVADA",0.0116974536009806,109878
"531","CLARKSTOWN TOWN",0.000987641944742898,81435
"532","WEST VALLEY",0.0192588585835828,134590
